RecordDate,AUTOMOBILE,CEMENT_CEMENT_PRODUCTS,CONSTRUCTION,CONSUMER_GOODS,FERTILISERS_PESTICIDES,FINANCIAL_SERVICES,INFOTECH,MEDIA_ENTERTAINMENT_PUBLICATION,METALS,OIL_GAS,PHARMA,POWER,SERVICES,TELECOM
2020-01-01,35691.2,25127.4,1309.95,22941.3,588.25,22100.55,4486.2,288.65,1316.7,2375.85,3789.6,317.05,377.65,453.3
2020-01-02,35214.75,26243.3,1345.3,22906.9,595.45,22342.2,4480.25,289.6,1352,2401.45,3773.35,316.5,383.15,455.2
2020-01-03,34671.75,26098.1,1335.05,22689.45,590.75,22063.6,4557.9,273.7,1342.2,2401.6,3798.45,312.35,382.5,455.1
2020-01-06,34018.8,25958.5,1316.75,22455,584.95,21354.35,4543.85,261.5,1303.05,2346.15,3785.55,312,380.2,449.65
2020-01-07,33974.75,26947.55,1320.5,22367.75,595.05,21478.5,4550.3,267.75,1311.9,2360.35,3799.2,312.25,384.8,445.1
2020-01-08,33011.4,27502.9,1291.55,22450.5,600.85,21542.6,4583.8,264.45,1302.7,2342.25,3802.1,310.5,385.65,458.85
2020-01-09,33730.3,27959.85,1316.15,22751.4,604.55,22040.3,4549.5,272.05,1328.15,2390.45,3830.45,312.3,391.8,460.1
2020-01-10,33970.85,28546.25,1324.6,22814.2,600.3,22045.85,4560.05,263,1340.85,2392.85,3850.1,312.45,392.05,457
2020-01-13,33844.7,29057.5,1334.7,22901.3,591.95,22205.8,4591.05,265.1,1357.55,2395.75,3876.95,316.55,390.35,468.9
2020-01-14,34147.85,28803.2,1326.1,23212.05,583.55,22301.6,4630.3,269.55,1369.4,2384.75,3878.05,318.75,389.2,469.35
2020-01-15,34477.7,29001.45,1323.6,23265.55,585.8,22251.5,4633.6,272.8,1375.35,2373.8,3851.7,318.1,390.8,467.85
2020-01-16,35310.5,28519.25,1319.3,23823.2,588.1,22297.9,4632.35,279.7,1354,2377.1,3866.75,317.9,390.95,473.9
2020-01-17,35151.05,28580.9,1304.2,23882.95,589.25,22319.15,4615.3,281.7,1346.05,2409.3,3969.25,318.6,387.6,500.05
2020-01-20,35096.2,28373.55,1309.6,23869.05,584.6,21960.5,4554.25,270.75,1327.35,2357.7,3989.2,322.9,380.05,508.7
2020-01-21,34599.15,28208.7,1302.35,23672.8,577.7,21906.5,4543.6,284.1,1304.6,2362.05,3981.25,317.75,379.95,511.75
2020-01-22,34450.25,28286.55,1294.2,23901.7,562.95,21811.65,4592.35,300.35,1289.6,2344.75,3979.95,312.2,383.6,514.5
2020-01-23,34312.7,28414.35,1332.3,23936.8,542.2,21844.8,4591.9,279.25,1296.4,2361.65,3953.15,315.45,385.85,523.65
2020-01-24,34356.3,28599.4,1359.2,24274.5,543.3,22077.9,4608.75,280.8,1310.55,2355.15,3938.05,311.7,384.75,524.25
2020-01-27,34542.85,29088.5,1348.6,24138.35,537.25,21814.2,4588.55,278.95,1265.7,2335.75,4101.6,306.15,381.25,514.4
2020-01-28,34362.05,28859.95,1346.65,23863.35,536.95,21960.35,4601.5,272.5,1228.85,2313.35,4106.75,302.5,372.95,491.25
2020-01-29,33546.55,28876.7,1365.7,24374.95,542.15,22430.35,4604.05,274.25,1244.45,2321.1,4059.9,305.6,383.35,490.25
2020-01-30,33742.6,28762.55,1370.2,24007.9,544.15,22078.55,4558.45,267.85,1227.85,2269.5,4047.95,308.05,378,489.8
2020-01-31,33628.45,28201.9,1369.3,23812.95,526.55,21971.6,4479.8,269.15,1198.35,2211.45,3995.7,299.7,369.4,496.45
2020-02-01,33172.9,27440.75,1287.4,23844.85,503.65,21062.1,4579.6,252.95,1161.35,2157.8,3990.05,291.7,362.3,497.2
2020-02-03,33277.95,28418.55,1286.65,24971.65,513.3,21360,4479.55,256.6,1182.15,2171.8,4006.25,297.6,367.35,510.05
2020-02-04,33079.7,29753.35,1291.75,25226.45,522.6,22152.9,4533.45,244.5,1220.55,2243.75,4115.95,306.35,372.5,518.9
2020-02-05,32830.8,30165.15,1310.05,25170.9,537.45,22292.6,4583,226.65,1262.95,2292.65,4007.15,300.55,366.6,533.35
2020-02-06,33732.9,30278.6,1317.6,25023.2,536.85,22571.05,4560.75,235.8,1271.85,2300.85,4029.25,304.9,370.2,546.8
2020-02-07,33029.05,30177.6,1299,25086.25,543.1,22482.45,4589.95,249.75,1277.35,2274.8,4040.7,306,369.55,539.45
2020-02-10,32136.45,30132.95,1285.3,24824.35,574.1,22541.15,4594.6,230.45,1231.7,2264.85,4014.15,300.1,368.25,538.7
2020-02-11,32278.7,30039.2,1286.9,24645.9,576.65,22740.85,4598.8,231.3,1246.6,2285.75,4060.35,306.35,374.2,534.3
2020-02-12,32592.45,29899.05,1297.3,25070.6,573.9,22844.2,4631.85,232.05,1257.15,2297.2,4057.1,306.15,374.1,539.6
2020-02-13,32608.8,29818.85,1292.25,25214.85,578.75,22694.4,4668.4,237.15,1250.15,2293.55,4186.95,305.7,369.1,539.95
2020-02-14,31812.35,29611,1295.15,25086.35,591.65,22552,4669.35,238.75,1233.55,2305,4169.95,296.8,366.85,565
2020-02-17,31493.45,29215.3,1280.2,25327.4,595,22331.15,4683.2,239.2,1225.2,2269.65,4135.85,293.9,362.8,564.85
2020-02-18,31561.4,28976.85,1286.35,25083.2,585.2,22243.65,4703.3,245.6,1212.95,2269.55,4096,294.6,366.6,548.25
2020-02-19,31658.75,29763.5,1281.4,25580.65,585.2,22690.6,4691.05,252.25,1222.55,2315.1,4129.2,299.55,371.3,543.4
2020-02-20,31595.35,29586.8,1280.6,25219.7,584.35,22663.85,4637.15,256.8,1237,2292.1,4096,300.6,370.85,545.6
2020-02-24,30248.9,28951.5,1259.7,24890.45,573.25,22199.85,4570.65,249.1,1161.5,2235,4004.3,295.8,362.25,529.9
2020-02-25,29737.25,28636.45,1242.05,24935.65,566.35,22270,4603.2,251.9,1166.15,2195.15,3901.6,296.25,358.4,535.25
2020-02-26,29128.5,28509.45,1211.15,24798.05,563,22060.5,4541.3,251.4,1151.05,2153,3872.25,294.95,358.4,535.95
2020-02-27,29028.8,28847.05,1210.35,24864,550.85,22010.9,4497.15,244.35,1137.9,2136.65,3876.75,295.5,353.7,531.65
2020-02-28,28413.2,27577.75,1187.55,24173.8,519.7,21091.95,4232.05,239.3,1055.75,2057.1,3702.1,288.05,342.2,523.5
2020-03-02,28649.9,27852.15,1160.9,24444.75,514.35,20790.45,4257.4,233.85,1029.1,2021.2,3677,287.4,340.65,518.35
2020-03-03,29618.2,28593.1,1181.3,24793.95,521.55,21017.05,4324.25,251.1,1091.05,2071.05,3862.55,300.6,347.3,520.8
2020-03-04,28997.25,28118.3,1176.65,25066.8,511.6,20590.75,4405.2,251.75,1080.8,2063.85,4024.45,305,345.95,516.75
2020-03-05,29513.9,27952.05,1182.45,25243.1,516.05,20754.25,4441.85,238.15,1072.65,2033.75,4029.95,303.8,349.15,526.9
2020-03-06,29548.05,27943.35,1158.9,25001.4,513.6,20133.75,4385.55,221.15,1020.2,1971.2,4006.25,295.75,341.4,519.15
2020-03-09,29185.2,26592.1,1101.95,24397.15,513,19185.1,4136.45,194.45,947.65,1812.4,3880.75,283.85,321.9,496.25
2020-03-11,29078,26513.55,1116.95,24498,516.95,19207.65,4098.15,209.5,921.05,1817.05,3803.65,284.45,320.2,493.8
2020-03-12,27278.35,24496.85,1016.55,23508.05,443.6,17500.6,3743.35,190.65,845.25,1637.65,3599.95,260.45,287.65,464.95
2020-03-13,28270.4,25702.05,1051.45,22832.9,410.85,18362.95,3794.9,182.8,907.2,1724.05,3694.85,265.95,292.75,491.85
2020-03-16,26571.75,24253,968.7,21890.1,376.8,17191.8,3513.4,166.35,810,1608.35,3591.9,248.75,261.4,464.8
2020-03-17,27228,24031.6,956.75,22112.8,350.85,16190.85,3432.15,133.1,795.5,1589.25,3553.1,250.1,267.15,454.7
2020-03-18,25578.85,23124.55,904.55,20662.2,321.85,14547.45,3372.55,164.1,772.4,1527.65,3417.2,224.7,260.4,425.55
2020-03-19,24132.2,21388.55,843.1,19943.3,296.75,13670.1,3287.7,141.2,727.8,1436.35,3359.05,225.5,258.35,444.75
2020-03-20,25215.55,23006.9,864.7,21488.35,300.15,14508.15,3583.1,144.9,787.25,1579.55,3655.3,238.5,256.4,462.65
2020-03-23,21837.4,20447.5,724.05,19405.9,254.6,11388.4,3270.65,122,693.95,1372.55,3468.15,229.4,207.8,407.35
