RecordDate,Industry,PrevClose,DayClose
2020-01-01,AUTOMOBILE,36228.6,35691.2
2020-01-01,CEMENT & CEMENT PRODUCTS,25153.65,25127.4
2020-01-01,CONSTRUCTION,1298.2,1309.95
2020-01-01,CONSUMER GOODS,22946.75,22941.3
2020-01-01,FERTILISERS & PESTICIDES,584.5,588.25
2020-01-01,FINANCIAL SERVICES,22133.85,22100.55
2020-01-01,IT,4469.05,4486.2
2020-01-01,MEDIA ENTERTAINMENT & PUBLICATION,292.2,288.65
2020-01-01,METALS,1322.05,1316.7
2020-01-01,OIL & GAS,2381,2375.85
2020-01-01,PHARMA,3785.3,3789.6
2020-01-01,POWER,309.3,317.05
2020-01-01,SERVICES,366,377.65
2020-01-01,TELECOM,455.8,453.3
2020-01-02,AUTOMOBILE,35691.2,35214.75
2020-01-02,CEMENT & CEMENT PRODUCTS,25127.4,26243.3
2020-01-02,CONSTRUCTION,1309.95,1345.3
2020-01-02,CONSUMER GOODS,22941.3,22906.9
2020-01-02,FERTILISERS & PESTICIDES,588.25,595.45
2020-01-02,FINANCIAL SERVICES,22100.55,22342.2
2020-01-02,IT,4486.2,4480.25
2020-01-02,MEDIA ENTERTAINMENT & PUBLICATION,288.65,289.6
2020-01-02,METALS,1316.7,1352
2020-01-02,OIL & GAS,2375.85,2401.45
2020-01-02,PHARMA,3789.6,3773.35
2020-01-02,POWER,317.05,316.5
2020-01-02,SERVICES,377.65,383.15
2020-01-02,TELECOM,453.3,455.2
2020-01-03,AUTOMOBILE,35214.75,34671.75
2020-01-03,CEMENT & CEMENT PRODUCTS,26243.3,26098.1
2020-01-03,CONSTRUCTION,1345.3,1335.05
2020-01-03,CONSUMER GOODS,22906.9,22689.45
2020-01-03,FERTILISERS & PESTICIDES,595.45,590.75
2020-01-03,FINANCIAL SERVICES,22342.2,22063.6
2020-01-03,IT,4480.25,4557.9
2020-01-03,MEDIA ENTERTAINMENT & PUBLICATION,289.6,273.7
2020-01-03,METALS,1352,1342.2
2020-01-03,OIL & GAS,2401.45,2401.6
2020-01-03,PHARMA,3773.35,3798.45
2020-01-03,POWER,316.5,312.35
2020-01-03,SERVICES,383.15,382.5
2020-01-03,TELECOM,455.2,455.1
2020-01-06,AUTOMOBILE,34671.75,34018.8
2020-01-06,CEMENT & CEMENT PRODUCTS,26098.1,25958.5
