RecordDate,Symbol,Industry,DayClose,VWAP
2020-01-01,BAJAJ-AUTO,AUTOMOBILE,3150.1,3169.79
2020-01-01,EICHERMOT,AUTOMOBILE,22075.8,22214.67
2020-01-01,HEROMOTOCO,AUTOMOBILE,2432.55,2443.14
2020-01-01,M&M,AUTOMOBILE,536.6,533.95
2020-01-01,MARUTI,AUTOMOBILE,7311.7,7339.1
2020-01-01,TATAMOTORS,AUTOMOBILE,184.45,185.11
2020-01-01,GRASIM,CEMENT & CEMENT PRODUCTS,742.5,742.83
2020-01-01,SHREECEM,CEMENT & CEMENT PRODUCTS,20319.9,20378.73
2020-01-01,ULTRACEMCO,CEMENT & CEMENT PRODUCTS,4065,4059.12
2020-01-01,LT,CONSTRUCTION,1309.95,1310.91
2020-01-01,ASIANPAINT,CONSUMER GOODS,1793.2,1794.29
2020-01-01,BRITANNIA,CONSUMER GOODS,3039.65,3040.96
2020-01-01,HINDUNILVR,CONSUMER GOODS,1936.55,1932.33
2020-01-01,ITC,CONSUMER GOODS,238.1,237.85
2020-01-01,NESTLEIND,CONSUMER GOODS,14779.05,14774.53
2020-01-01,TITAN,CONSUMER GOODS,1154.75,1168.61
2020-01-01,UPL,FERTILISERS & PESTICIDES,588.25,585.76
2020-01-01,AXISBANK,FINANCIAL SERVICES,748.7,751.81
2020-01-01,BAJAJFINSV,FINANCIAL SERVICES,9378.45,9386.28
2020-01-01,BAJFINANCE,FINANCIAL SERVICES,4231.3,4235.35
2020-01-01,HDFC,FINANCIAL SERVICES,2433.95,2425.83
2020-01-01,HDFCBANK,FINANCIAL SERVICES,1278.6,1276.64
2020-01-01,ICICIBANK,FINANCIAL SERVICES,536.75,538
2020-01-01,INDUSINDBK,FINANCIAL SERVICES,1484.3,1494.31
2020-01-01,KOTAKBANK,FINANCIAL SERVICES,1674.05,1679
2020-01-01,SBIN,FINANCIAL SERVICES,334.45,334.03
2020-01-01,HCLTECH,IT,571.95,570.49
2020-01-01,INFY,IT,736.85,735.35
2020-01-01,TCS,IT,2167.6,2170.54
2020-01-01,TECHM,IT,762.1,763.39
2020-01-01,WIPRO,IT,247.7,247.76
2020-01-01,ZEEL,MEDIA ENTERTAINMENT & PUBLICATION,288.65,291.31
2020-01-01,COALINDIA,METALS,211.95,210.71
2020-01-01,HINDALCO,METALS,214.3,214.92
2020-01-01,JSWSTEEL,METALS,268.1,269.49
2020-01-01,TATASTEEL,METALS,467.75,469.79
2020-01-01,VEDL,METALS,154.6,153.58
2020-01-01,BPCL,OIL & GAS,491.65,491.53
2020-01-01,GAIL,OIL & GAS,121.2,120.69
2020-01-01,IOC,OIL & GAS,125.95,126.12
2020-01-01,ONGC,OIL & GAS,127.45,127.81
2020-01-01,RELIANCE,OIL & GAS,1509.6,1515.23
2020-01-01,CIPLA,PHARMA,475.9,477.26
2020-01-01,DRREDDY,PHARMA,2879.4,2875.64
2020-01-01,SUNPHARMA,PHARMA,434.3,434.19
2020-01-01,NTPC,POWER,121.55,120.67
2020-01-01,POWERGRID,POWER,195.5,193.78
2020-01-01,ADANIPORTS,SERVICES,377.65,375.71
2020-01-01,BHARTIARTL,TELECOM,453.3,454.52
2020-01-02,BAJAJ-AUTO,AUTOMOBILE,3121,3129.6
2020-01-02,EICHERMOT,AUTOMOBILE,21600.85,21781.96
2020-01-02,HEROMOTOCO,AUTOMOBILE,2429.45,2435.16
2020-01-02,M&M,AUTOMOBILE,539.85,538.71
2020-01-02,MARUTI,AUTOMOBILE,7329.85,7339.32
2020-01-02,TATAMOTORS,AUTOMOBILE,193.75,190.57
2020-01-02,GRASIM,CEMENT & CEMENT PRODUCTS,766.35,759.06
2020-01-02,SHREECEM,CEMENT & CEMENT PRODUCTS,21232.15,21006.81
2020-01-02,ULTRACEMCO,CEMENT & CEMENT PRODUCTS,4244.8,4201.06
2020-01-02,LT,CONSTRUCTION,1345.3,1334.29
2020-01-02,ASIANPAINT,CONSUMER GOODS,1790.65,1791.83
2020-01-02,BRITANNIA,CONSUMER GOODS,3053.4,3054.17
2020-01-02,HINDUNILVR,CONSUMER GOODS,1938.05,1939.45
2020-01-02,ITC,CONSUMER GOODS,239.85,239.71
2020-01-02,NESTLEIND,CONSUMER GOODS,14729.35,14742.53
2020-01-02,TITAN,CONSUMER GOODS,1155.6,1150.75
2020-01-02,UPL,FERTILISERS & PESTICIDES,595.45,592.92
2020-01-02,AXISBANK,FINANCIAL SERVICES,756.95,753.82
2020-01-02,BAJAJFINSV,FINANCIAL SERVICES,9505.6,9474.82
2020-01-02,BAJFINANCE,FINANCIAL SERVICES,4246.05,4268.23
2020-01-02,HDFC,FINANCIAL SERVICES,2466.4,2450.7
2020-01-02,HDFCBANK,FINANCIAL SERVICES,1286.75,1284.56
2020-01-02,ICICIBANK,FINANCIAL SERVICES,540.6,539.44
2020-01-02,INDUSINDBK,FINANCIAL SERVICES,1529,1508.49
2020-01-02,KOTAKBANK,FINANCIAL SERVICES,1671.55,1669.98
2020-01-02,SBIN,FINANCIAL SERVICES,339.3,336.81
2020-01-02,HCLTECH,IT,573.55,573.24
2020-01-02,INFY,IT,734.7,735.22
2020-01-02,TCS,IT,2157.65,2158.63
2020-01-02,TECHM,IT,766.05,766.33
2020-01-02,WIPRO,IT,248.3,248.39
2020-01-02,ZEEL,MEDIA ENTERTAINMENT & PUBLICATION,289.6,286.67
2020-01-02,COALINDIA,METALS,211.1,210.67
2020-01-02,HINDALCO,METALS,220.15,218.22
2020-01-02,JSWSTEEL,METALS,276.45,274.93
2020-01-02,TATASTEEL,METALS,484.85,480.88
2020-01-02,VEDL,METALS,159.45,157.86
2020-01-02,BPCL,OIL & GAS,487.55,488.33
2020-01-02,GAIL,OIL & GAS,123.55,122.6
2020-01-02,IOC,OIL & GAS,127,126.71
2020-01-02,ONGC,OIL & GAS,128.05,127.85
2020-01-02,RELIANCE,OIL & GAS,1535.3,1530.86
2020-01-02,CIPLA,PHARMA,473.5,475.63
2020-01-02,DRREDDY,PHARMA,2864.9,2870.42
2020-01-02,SUNPHARMA,PHARMA,434.95,436.67
2020-01-02,NTPC,POWER,121.4,121.54
2020-01-02,POWERGRID,POWER,195.1,195.15
2020-01-02,ADANIPORTS,SERVICES,383.15,381.66
2020-01-02,BHARTIARTL,TELECOM,455.2,455.54
2020-01-03,BAJAJ-AUTO,AUTOMOBILE,3072.05,3090.34
2020-01-03,EICHERMOT,AUTOMOBILE,21189.25,21241.25
2020-01-03,HEROMOTOCO,AUTOMOBILE,2432.35,2433.37
2020-01-03,M&M,AUTOMOBILE,532.75,533.82
2020-01-03,MARUTI,AUTOMOBILE,7254.25,7275.61
2020-01-03,TATAMOTORS,AUTOMOBILE,191.1,192
2020-01-03,GRASIM,CEMENT & CEMENT PRODUCTS,756.65,759.61
2020-01-03,SHREECEM,CEMENT & CEMENT PRODUCTS,21122.25,21151.13
2020-01-03,ULTRACEMCO,CEMENT & CEMENT PRODUCTS,4219.2,4222.2
2020-01-03,LT,CONSTRUCTION,1335.05,1335.87
2020-01-03,ASIANPAINT,CONSUMER GOODS,1751.4,1758.01
2020-01-03,BRITANNIA,CONSUMER GOODS,3038.8,3038.95
2020-01-03,HINDUNILVR,CONSUMER GOODS,1927.45,1926.53
2020-01-03,ITC,CONSUMER GOODS,238.5,238.66
2020-01-03,NESTLEIND,CONSUMER GOODS,14593.6,14624.11
2020-01-03,TITAN,CONSUMER GOODS,1139.7,1142.4
2020-01-03,UPL,FERTILISERS & PESTICIDES,590.75,590.82
2020-01-03,AXISBANK,FINANCIAL SERVICES,742.95,746.33
2020-01-03,BAJAJFINSV,FINANCIAL SERVICES,9345.85,9395.24
2020-01-03,BAJFINANCE,FINANCIAL SERVICES,4193.45,4205.07
2020-01-03,HDFC,FINANCIAL SERVICES,2454.45,2451.88
2020-01-03,HDFCBANK,FINANCIAL SERVICES,1268.4,1270.48
2020-01-03,ICICIBANK,FINANCIAL SERVICES,538.85,538.46
2020-01-03,INDUSINDBK,FINANCIAL SERVICES,1528.85,1522.15
2020-01-03,KOTAKBANK,FINANCIAL SERVICES,1657.1,1657.75
2020-01-03,SBIN,FINANCIAL SERVICES,333.7,335.08
2020-01-03,HCLTECH,IT,585.05,584.14
2020-01-03,INFY,IT,746,744.67
2020-01-03,TCS,IT,2200.65,2199.26
2020-01-03,TECHM,IT,775.1,775.14
2020-01-03,WIPRO,IT,251.1,250.99
2020-01-03,ZEEL,MEDIA ENTERTAINMENT & PUBLICATION,273.7,277.75
2020-01-03,COALINDIA,METALS,211.85,210.47
2020-01-03,HINDALCO,METALS,216.45,217.48
2020-01-03,JSWSTEEL,METALS,272.45,273.17
2020-01-03,TATASTEEL,METALS,483.7,482.61
2020-01-03,VEDL,METALS,157.75,158.62
2020-01-03,BPCL,OIL & GAS,483.5,481.4
2020-01-03,GAIL,OIL & GAS,125.65,126.53
2020-01-03,IOC,OIL & GAS,126.85,126.72
2020-01-03,ONGC,OIL & GAS,128.45,130.41
2020-01-03,RELIANCE,OIL & GAS,1537.15,1532.73
2020-01-03,CIPLA,PHARMA,469.95,471.24
2020-01-03,DRREDDY,PHARMA,2883.9,2881.03
2020-01-03,SUNPHARMA,PHARMA,444.6,444.26
2020-01-03,NTPC,POWER,119.35,120.14
2020-01-03,POWERGRID,POWER,193,193.03
2020-01-03,ADANIPORTS,SERVICES,382.5,382.01
2020-01-03,BHARTIARTL,TELECOM,455.1,454.8
2020-01-06,BAJAJ-AUTO,AUTOMOBILE,3037.65,3039.65
2020-01-06,EICHERMOT,AUTOMOBILE,20860.45,20909.91
2020-01-06,HEROMOTOCO,AUTOMOBILE,2368.15,2378.32
2020-01-06,M&M,AUTOMOBILE,524.5,523.29
2020-01-06,MARUTI,AUTOMOBILE,7042.4,7074.03
2020-01-06,TATAMOTORS,AUTOMOBILE,185.65,187.3
2020-01-06,GRASIM,CEMENT & CEMENT PRODUCTS,737,741.97
2020-01-06,SHREECEM,CEMENT & CEMENT PRODUCTS,21064.4,20872.85
2020-01-06,ULTRACEMCO,CEMENT & CEMENT PRODUCTS,4157.1,4169.55
2020-01-06,LT,CONSTRUCTION,1316.75,1320.73
2020-01-06,ASIANPAINT,CONSUMER GOODS,1707.15,1708.88
2020-01-06,BRITANNIA,CONSUMER GOODS,3022.05,3011.36
2020-01-06,HINDUNILVR,CONSUMER GOODS,1915.45,1917.28
2020-01-06,ITC,CONSUMER GOODS,235.1,236.15
2020-01-06,NESTLEIND,CONSUMER GOODS,14416.65,14374.36
2020-01-06,TITAN,CONSUMER GOODS,1158.6,1159.86
2020-01-06,UPL,FERTILISERS & PESTICIDES,584.95,583.91
2020-01-06,AXISBANK,FINANCIAL SERVICES,723.25,728.66
2020-01-06,BAJAJFINSV,FINANCIAL SERVICES,9042.7,9118.93
2020-01-06,BAJFINANCE,FINANCIAL SERVICES,3996.7,4052.84
2020-01-06,HDFC,FINANCIAL SERVICES,2384.1,2396.09
2020-01-06,HDFCBANK,FINANCIAL SERVICES,1240.95,1247.24
2020-01-06,ICICIBANK,FINANCIAL SERVICES,525.7,527.51
2020-01-06,INDUSINDBK,FINANCIAL SERVICES,1469.4,1490.4
2020-01-06,KOTAKBANK,FINANCIAL SERVICES,1652.55,1647.07
2020-01-06,SBIN,FINANCIAL SERVICES,319,322.03
2020-01-06,HCLTECH,IT,582,584.22
2020-01-06,INFY,IT,738.85,743.51
2020-01-06,TCS,IT,2200.45,2204.89
2020-01-06,TECHM,IT,770.4,773.7
2020-01-06,WIPRO,IT,252.15,252.4
2020-01-06,ZEEL,MEDIA ENTERTAINMENT & PUBLICATION,261.5,265.58
2020-01-06,COALINDIA,METALS,205.7,205.46
2020-01-06,HINDALCO,METALS,209.3,210.86
2020-01-06,JSWSTEEL,METALS,264.25,265.68
2020-01-06,TATASTEEL,METALS,473.25,474.95
2020-01-06,VEDL,METALS,150.55,153.36
2020-01-06,BPCL,OIL & GAS,469.15,471.45
2020-01-06,GAIL,OIL & GAS,124.35,124
2020-01-06,IOC,OIL & GAS,124.9,125.15
2020-01-06,ONGC,OIL & GAS,126.25,127.2
